iter	Passed	Remaining
784	1282	351
785	1284	349
786	1285	347
787	1286	346
788	1288	344
789	1289	342
790	1291	341
791	1293	339
792	1295	338
793	1297	336
794	1298	334
795	1299	333
796	1301	331
797	1303	329
798	1304	328
799	1305	326
800	1306	324
801	1310	323
802	1311	321
803	1313	320
804	1314	318
805	1316	316
806	1318	315
807	1319	313
808	1321	311
809	1323	310
810	1325	308
811	1327	307
812	1328	305
813	1329	303
814	1330	302
815	1332	300
816	1333	298
817	1335	297
818	1336	295
819	1338	293
820	1341	292
821	1342	290
822	1343	289
823	1345	287
824	1348	285
825	1349	284
826	1351	282
827	1353	281
828	1355	279
829	1356	277
830	1357	276
831	1359	274
832	1360	272
833	1361	271
834	1363	269
835	1364	267
836	1365	265
837	1366	264
838	1368	262
839	1370	261
840	1371	259
841	1372	257
842	1373	255
843	1376	254
844	1378	252
845	1379	251
846	1380	249
847	1382	247
848	1384	246
849	1385	244
850	1386	242
851	1387	241
852	1389	239
853	1390	237
854	1391	236
855	1393	234
856	1394	232
857	1395	230
858	1397	229
859	1400	227
860	1401	226
861	1403	224
862	1404	222
863	1406	221
864	1410	220
865	1413	218
866	1415	217
867	1417	215
868	1419	213
869	1421	212
870	1422	210
871	1424	209
872	1425	207
873	1427	205
874	1429	204
875	1431	202
876	1432	200
877	1434	199
878	1435	197
879	1436	195
880	1437	194
881	1438	192
882	1440	190
883	1441	189
884	1444	187
885	1445	185
886	1446	184
887	1447	182
888	1448	180
889	1449	179
890	1451	177
891	1452	175
892	1453	174
893	1455	172
894	1457	170
895	1460	169
896	1461	167
897	1462	166
898	1463	164
899	1466	162
900	1468	161
901	1469	159
902	1472	158
903	1475	156
904	1476	154
905	1477	153
906	1478	151
907	1479	149
908	1481	148
909	1482	146
910	1483	144
911	1484	143
912	1486	141
913	1488	140
914	1489	138
915	1490	136
916	1491	135
917	1492	133
918	1493	131
919	1495	130
920	1496	128
921	1497	126
922	1498	125
923	1500	123
924	1504	121
925	1505	120
926	1507	118
927	1508	117
928	1510	115
929	1512	113
930	1513	112
931	1514	110
932	1516	108
933	1518	107
934	1520	105
935	1521	104
936	1523	102
937	1524	100
938	1526	99
939	1528	97
940	1529	95
941	1531	94
942	1533	92
943	1534	91
944	1536	89
945	1537	87
946	1538	86
947	1540	84
948	1541	82
949	1543	81
950	1544	79
951	1546	77
952	1548	76
953	1549	74
954	1551	73
955	1552	71
956	1553	69
957	1554	68
958	1556	66
959	1557	64
960	1558	63
961	1559	61
962	1561	60
963	1563	58
964	1565	56
965	1566	55
966	1570	53
967	1572	51
968	1574	50
969	1578	48
970	1580	47
971	1581	45
972	1582	43
973	1584	42
974	1587	40
975	1589	39
976	1592	37
977	1594	35
978	1596	34
979	1597	32
980	1600	30
981	1602	29
982	1604	27
983	1607	26
984	1609	24
985	1610	22
986	1611	21
987	1612	19
988	1614	17
989	1616	16
990	1617	14
991	1618	13
992	1619	11
993	1621	9
994	1624	8
995	1625	6
996	1626	4
997	1627	3
998	1628	1
999	1630	0
